timestamp,event_type,message
2025-08-10 03:02:07,DETECTION,Frame 488 - 17 objek
2025-08-10 03:02:07,DETECTION,Frame 496 - 15 objek
2025-08-10 03:02:08,DETECTION,Frame 504 - 14 objek
2025-08-10 03:02:08,DETECTION,Frame 512 - 18 objek
2025-08-10 03:02:08,DETECTION,Frame 520 - 18 objek
2025-08-10 03:02:09,DETECTION,Frame 528 - 17 objek
2025-08-10 03:02:09,DETECTION,Frame 536 - 15 objek
2025-08-10 03:02:09,DETECTION,Frame 544 - 18 objek
2025-08-10 03:02:10,DETECTION,Frame 552 - 14 objek
2025-08-10 03:02:10,DETECTION,Frame 560 - 17 objek
2025-08-10 03:02:11,DETECTION,Frame 568 - 17 objek
2025-08-10 03:02:11,DETECTION,Frame 576 - 14 objek
2025-08-10 03:02:11,DETECTION,Frame 584 - 19 objek
2025-08-10 03:02:12,DETECTION,Frame 592 - 19 objek
2025-08-10 03:02:12,DETECTION,Frame 600 - 19 objek
2025-08-10 03:02:13,DETECTION,Frame 608 - 19 objek
2025-08-10 03:02:13,DETECTION,Frame 616 - 20 objek
2025-08-10 03:02:13,DETECTION,Frame 624 - 20 objek
2025-08-10 03:02:14,DETECTION,Frame 632 - 21 objek
2025-08-10 03:02:14,DETECTION,Frame 640 - 20 objek
2025-08-10 03:02:15,DETECTION,Frame 648 - 22 objek
2025-08-10 03:02:15,DETECTION,Frame 656 - 20 objek
2025-08-10 03:02:15,DETECTION,Frame 664 - 21 objek
2025-08-10 03:02:16,DETECTION,Frame 672 - 23 objek
2025-08-10 03:02:16,DETECTION,Frame 680 - 18 objek
2025-08-10 03:02:17,DETECTION,Frame 688 - 17 objek
2025-08-10 03:02:17,DETECTION,Frame 696 - 22 objek
2025-08-10 03:02:17,DETECTION,Frame 704 - 22 objek
2025-08-10 03:02:18,DETECTION,Frame 712 - 22 objek
2025-08-10 03:02:18,DETECTION,Frame 720 - 21 objek
2025-08-10 03:02:19,DETECTION,Frame 728 - 22 objek
2025-08-10 03:02:19,DETECTION,Frame 736 - 23 objek
2025-08-10 03:02:19,DETECTION,Frame 744 - 18 objek
2025-08-10 03:02:20,DETECTION,Frame 752 - 23 objek
2025-08-10 03:02:20,DETECTION,Frame 760 - 19 objek
2025-08-10 03:02:20,INFO,Upload video dihentikan
2025-08-10 03:07:06,INFO,Upload video dimulai: tmpj51399az
2025-08-10 03:07:07,DETECTION,Frame 8 - 4 objek
2025-08-10 03:07:08,DETECTION,Frame 16 - 4 objek
2025-08-10 03:07:08,DETECTION,Frame 24 - 3 objek
2025-08-10 03:07:09,DETECTION,Frame 32 - 3 objek
2025-08-10 03:07:09,DETECTION,Frame 40 - 3 objek
2025-08-10 03:07:10,DETECTION,Frame 48 - 4 objek
2025-08-10 03:07:10,DETECTION,Frame 56 - 3 objek
2025-08-10 03:07:11,DETECTION,Frame 64 - 3 objek
2025-08-10 03:07:11,DETECTION,Frame 72 - 4 objek
2025-08-10 03:07:11,DETECTION,Frame 80 - 5 objek
2025-08-10 03:07:12,DETECTION,Frame 88 - 4 objek
2025-08-10 03:07:12,DETECTION,Frame 96 - 4 objek
2025-08-10 03:07:13,DETECTION,Frame 104 - 3 objek
2025-08-10 03:07:13,DETECTION,Frame 112 - 4 objek
2025-08-10 03:07:14,DETECTION,Frame 120 - 3 objek
2025-08-10 03:07:14,DETECTION,Frame 128 - 3 objek
2025-08-10 03:07:14,DETECTION,Frame 136 - 4 objek
2025-08-10 03:07:15,DETECTION,Frame 144 - 4 objek
2025-08-10 03:07:15,DETECTION,Frame 152 - 4 objek
2025-08-10 03:07:16,DETECTION,Frame 160 - 4 objek
2025-08-10 03:07:16,DETECTION,Frame 168 - 5 objek
2025-08-10 03:07:16,DETECTION,Frame 176 - 5 objek
2025-08-10 03:07:17,DETECTION,Frame 184 - 6 objek
2025-08-10 03:07:17,DETECTION,Frame 192 - 8 objek
2025-08-10 03:07:18,DETECTION,Frame 200 - 8 objek
2025-08-10 03:07:18,DETECTION,Frame 208 - 7 objek
2025-08-10 03:07:19,DETECTION,Frame 216 - 8 objek
2025-08-10 03:07:19,DETECTION,Frame 224 - 9 objek
